name,marktwert,source,team
Vlad Chiriches,"5,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Semih Kaya,"5,75",http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Marcus Rashford,6,http://www.transfermarkt.com/england/startseite/verein/3299,England
Christian Kabasele,6,http://www.transfermarkt.com/belgium/startseite/verein/3382,Belgien
Thomas Meunier,6,http://www.transfermarkt.com/belgium/startseite/verein/3382,Belgien
Pepe,6,http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Marko Rog,6,http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Lukasz Piszczek,6,http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Gökhan Gönül,6,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Selcuk Inan,6,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Roman Bürki,6,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Stephan Lichtsteiner,6,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Guilherme,6,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Robbie Brady,6,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Ragnar Sigurdsson,6,http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Jonny Evans,6,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Steven Davis,6,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Balázs Dzsudzsák,"6,25",http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Nuri Sahin,"6,5",http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Ashley Williams,"6,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Kevin Wimmer,"6,5",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Onur Kivrak,"6,75",http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Adil Rami,7,http://www.transfermarkt.com/france/startseite/verein/3377,Frankreich
Bacary Sagna,7,http://www.transfermarkt.com/france/startseite/verein/3377,Frankreich
Ante Coric,7,http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Daniele De Rossi,7,http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
Lukasz Fabianski,7,http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Jakub Blaszczykowski,7,http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Ozan Tufan,7,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Roman Neustädter,7,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Aleksandr Kokorin,7,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Zlatko Junuzovic,7,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
