result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
1014,Daniel Brändle,5,204,Liechtenstein,Liechtenstein,nq,33626,Verteidigung,11,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906097/index.html,,,1,0,0,2,4,1,30,23
1015,Duško Tošić,3,205,Serbia,Serbien,nq,31066,Verteidigung,16,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=63733/index.html,,,0,0,0,2,3,1,103,82
1029,Beram Kayal,4,216,Israel,Israel,nq,32265,Mittelfeld,30,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=97874/index.html,,,1,3,0,2,6,0,87,75
1036,Artūrs Karašausks,5,224,Latvia,Lettland,nq,33632,Angriff,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250006224/index.html,,,1,3,2,2,4,1,44,32
1039,Adrià Rodrigues,4,225,Andorra,Andorra,nq,32369,Verteidigung,15,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=68861/index.html,,,0,0,0,2,1,1,10,8
1043,Lazaros Christodoulopoulos,4,229,Greece,Griechenland,nq,31765,Mittelfeld,26,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=97664/index.html,,,2,6,2,2,5,0,70,60
1054,Loukas Vyntra,4,241,Greece,Griechenland,nq,29622,Verteidigung,56,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=52501/index.html,,,0,0,0,2,3,0,91,81
1065,Adrian Popa,5,258,Romania,Rumänien,q,32348,Mittelfeld,14,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250053934/index.html,,,1,1,1,2,6,1,68,50
1067,Vaidas Slavickas,4,260,Lithuania,Litauen,nq,31469,Verteidigung,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=101633/index.html,,,0,0,0,2,4,0,101,90
1081,Andreas Bjelland,3,270,Denmark,Dänemark,nq,32335,Verteidigung,21,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=108507/index.html,,,0,2,0,2,1,0,220,210
