result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
1,Robert Lewandowski,10,876,Poland,Polen,q,32376,Angriff,76,34,http://www.uefa.com/uefaeuro/season=2016/teams/player=250002096/index.html,13,4,25,9,8,17,26,1,221,182
2,Zlatan Ibrahimović,10,814,Sweden,Schweden,q,29862,Angriff,113,62,http://www.uefa.com/uefaeuro/season=2016/teams/player=59217/index.html,11,1,20,15,10,18,18,2,294,226
3,Thomas Müller,9,806,Germany,Deutschland,q,32764,Angriff,71,32,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003318/index.html,9,2,18,15,6,9,6,1,382,311
5,Edin Džeko,9,788,Bosnia and Herzegovina,Bosnien,nq,31488,Angriff,79,46,http://www.uefa.com/uefaeuro/season=2016/teams/player=72048/index.html,8,0,13,17,8,8,17,3,183,142
4,Artem Dzyuba,8,581,Russia,Russland,q,32377,Angriff,18,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=97787/index.html,8,2,14,9,3,11,8,0,104,85
10,Gareth Bale,10,897,Wales,Wales,q,32705,Angriff,55,19,http://www.uefa.com/uefaeuro/season=2016/teams/player=102225/index.html,7,2,24,21,7,5,21,1,233,181
6,Wayne Rooney,8,669,England,England,q,31344,Angriff,111,52,http://www.uefa.com/uefaeuro/season=2016/teams/player=63891/index.html,7,1,23,16,5,10,8,0,214,181
9,Steven Fletcher,10,789,Scotland,Schottland,nq,31862,Angriff,28,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=73894/index.html,7,2,12,13,5,10,17,0,175,138
7,Marc Janko,9,675,Austria,Österreich,q,30492,Angriff,54,25,http://www.uefa.com/uefaeuro/season=2016/teams/player=59688/index.html,7,2,12,9,3,18,7,1,86,71
8,Kyle Lafferty,9,752,Northern Ireland,Nordirland,q,32036,Angriff,51,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=92995/index.html,7,1,13,11,4,23,25,3,99,83
11,Danny Welbeck,5,403,England,England,q,33203,Angriff,34,14,http://www.uefa.com/uefaeuro/season=2016/teams/player=1901680/index.html,6,1,10,4,4,6,8,0,153,130
14,Ivan Perišić,9,779,Croatia,Kroatien,q,32541,Mittelfeld,47,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=103310/index.html,6,3,11,10,2,7,5,3,232,193
15,Gylfi Sigurdsson,10,889,Iceland,Island,q,32759,Mittelfeld,39,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=102293/index.html,6,3,11,10,9,8,17,1,447,399
16,Andriy Yarmolenko,12,1055,Ukraine,Ukraine,q,32804,Mittelfeld,59,25,http://www.uefa.com/uefaeuro/season=2016/teams/player=250000069/index.html,6,2,12,15,5,8,28,0,385,311
12,Arkadiusz Milik,9,745,Poland,Polen,q,34393,Angriff,26,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=250043124/index.html,6,6,14,9,2,12,6,0,199,168
13,Milivoje Novakovič,9,778,Slovenia,Slowenien,nq,28993,Angriff,76,31,http://www.uefa.com/uefaeuro/season=2016/teams/player=101482/index.html,6,2,10,5,2,14,13,2,108,84
17,Omer Damari,6,356,Israel,Israel,nq,32591,Angriff,20,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=97877/index.html,5,1,6,2,1,2,3,0,59,49
23,Eden Hazard,9,751,Belgium,Belgien,q,33245,Mittelfeld,65,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=1902160/index.html,5,1,11,3,8,4,26,0,449,387
19,Robbie Keane,9,472,Republic of Ireland,Irland,q,29410,Angriff,142,67,http://www.uefa.com/uefaeuro/season=2016/teams/player=31544/index.html,5,2,7,7,1,6,5,0,44,35
20,Cristiano Ronaldo,6,540,Portugal,Portugal,q,31083,Angriff,125,56,http://www.uefa.com/uefaeuro/season=2016/teams/player=63706/index.html,5,0,16,5,7,6,13,1,216,185
22,Shaun Maloney,10,719,Scotland,Schottland,nq,30340,Mittelfeld,47,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=55522/index.html,5,4,9,3,2,7,13,2,244,221
25,Kevin De Bruyne,10,899,Belgium,Belgien,q,33417,Mittelfeld,41,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=250008901/index.html,5,3,17,15,5,8,9,1,530,434
24,Marek Hamšík,10,861,Slovakia,Slowakei,q,31985,Mittelfeld,87,18,http://www.uefa.com/uefaeuro/season=2016/teams/player=73965/index.html,5,1,12,11,4,12,8,1,413,349
26,Jon Walters,10,900,Republic of Ireland,Irland,q,30579,Angriff,38,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=74101/index.html,5,0,10,7,4,15,21,3,180,147
21,Klaas-Jan Huntelaar,8,565,Netherlands,Niederlande,nq,30540,Angriff,76,42,http://www.uefa.com/uefaeuro/season=2016/teams/player=53931/index.html,5,1,8,4,1,16,9,1,106,95
18,Paco Alcácer,8,442,Spain,Spanien,q,34211,Angriff,13,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007584/index.html,5,1,8,6,1,,,,74,64
27,Nestor Mytidis,7,499,Cyprus,Zypern,nq,33390,Angriff,20,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250027074/index.html,4,1,5,5,0,2,10,0,67,56
30,David Alaba,8,686,Austria,Österreich,q,33779,Mittelfeld,46,11,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906540/index.html,4,3,12,10,7,4,10,0,438,372
31,Kamil Grosicki,9,735,Poland,Polen,q,32302,Mittelfeld,38,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=108235/index.html,4,4,16,15,3,6,6,1,239,182
32,Xherdan Shaqiri,9,765,Switzerland,Schweiz,q,33521,Mittelfeld,53,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905360/index.html,4,5,12,10,8,6,13,0,381,316
29,Burak Yılmaz,6,523,Turkey,Türkei,q,31243,Angriff,44,20,http://www.uefa.com/uefaeuro/season=2016/teams/player=62309/index.html,4,1,7,9,2,8,16,1,71,57
33,Bořek Dočkal,9,792,Czech Republic,Tschechien,q,32416,Mittelfeld,24,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=98910/index.html,4,1,6,4,5,8,11,3,328,262
28,Marouane Fellaini,8,510,Belgium,Belgien,q,32103,Mittelfeld,70,15,http://www.uefa.com/uefaeuro/season=2016/teams/player=104237/index.html,4,0,7,4,2,13,4,0,267,244
34,Theo Walcott,4,134,England,England,q,32583,Angriff,43,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=93279/index.html,3,0,5,2,2,1,2,0,39,36
35,Max Kruse,5,185,Germany,Deutschland,q,32221,Angriff,14,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=108132/index.html,3,3,4,5,1,1,0,0,134,117
36,Harry Kane,5,232,England,England,q,34178,Angriff,12,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250016833/index.html,3,2,10,3,3,3,2,0,60,49
38,Tomer Hemed,7,333,Israel,Israel,nq,31899,Angriff,22,12,http://www.uefa.com/uefaeuro/season=2016/teams/player=72405/index.html,3,0,10,6,2,3,5,1,62,49
44,Josip Drmic,9,482,Switzerland,Schweiz,q,33824,Angriff,25,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=250017664/index.html,3,2,8,6,2,3,1,1,101,83
43,Dimitris Christofi,5,442,Cyprus,Zypern,nq,32414,Angriff,37,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=79528/index.html,3,3,3,4,3,4,7,0,111,86
46,George Efrem,6,505,Cyprus,Zypern,nq,32694,Mittelfeld,31,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=98143/index.html,3,2,6,5,3,4,7,1,144,122
39,André Schürrle,7,390,Germany,Deutschland,q,33183,Mittelfeld,52,20,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005337/index.html,3,1,8,5,6,5,0,0,135,118
40,Dries Mertens,9,394,Belgium,Belgien,q,31903,Angriff,46,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=250019924/index.html,3,3,7,8,5,6,5,0,175,141
41,Joel Pohjanpalo,10,405,Finland,Finnland,nq,34590,Angriff,20,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250024153/index.html,3,0,8,4,0,7,4,2,108,85
42,Artem Kravets,8,417,Ukraine,Ukraine,q,32662,Angriff,13,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=103841/index.html,3,1,8,5,0,7,9,1,68,62
51,Haris Seferović,8,599,Switzerland,Schweiz,q,33656,Angriff,30,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=250002548/index.html,3,0,12,13,3,7,3,0,205,162
45,Zoran Tošić,8,503,Serbia,Serbien,nq,31895,Mittelfeld,75,11,http://www.uefa.com/uefaeuro/season=2016/teams/player=93114/index.html,3,0,7,3,1,8,12,1,157,127
47,Adam Nemec,7,526,Slovakia,Slowakei,q,31292,Angriff,22,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=93563/index.html,3,2,4,3,1,8,12,1,133,110
55,Mario Götze,9,694,Germany,Deutschland,q,33758,Mittelfeld,52,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007605/index.html,3,1,7,6,7,8,13,0,336,308
37,Shane Long,9,277,Republic of Ireland,Irland,q,31799,Angriff,63,16,http://www.uefa.com/uefaeuro/season=2016/teams/player=99315/index.html,3,0,4,3,1,9,9,0,44,32
49,Robin van Persie,8,556,Netherlands,Niederlande,nq,30534,Angriff,101,50,http://www.uefa.com/uefaeuro/season=2016/teams/player=53130/index.html,3,2,10,9,6,9,6,2,158,139
50,David Silva,8,597,Spain,Spanien,q,31420,Mittelfeld,98,24,http://www.uefa.com/uefaeuro/season=2016/teams/player=64257/index.html,3,3,7,6,9,9,17,2,509,435
52,Steven Naismith,9,622,Scotland,Schottland,nq,31669,Angriff,43,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=93682/index.html,3,1,6,5,3,9,15,1,229,193
62,Yuri Logvinenko,9,810,Kazakhstan,Kasachstan,nq,32346,Verteidigung,36,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=98199/index.html,3,0,5,5,0,10,12,2,370,311
54,Valērijs Šabala,9,688,Latvia,Lettland,nq,34619,Angriff,26,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=250024826/index.html,3,0,3,9,2,11,18,2,127,98
61,Martin Harnik,10,794,Austria,Österreich,q,31938,Mittelfeld,58,14,http://www.uefa.com/uefaeuro/season=2016/teams/player=103549/index.html,3,4,17,8,4,11,7,0,269,212
57,Ildefons Lima,10,742,Andorra,Andorra,nq,29199,Verteidigung,99,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=47106/index.html,3,0,4,3,0,12,16,1,51,21
58,Erkan Zengin,9,747,Sweden,Schweden,q,31264,Mittelfeld,20,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=95117/index.html,3,1,6,2,2,12,13,1,414,358
59,Selçuk İnan,9,774,Turkey,Türkei,q,31088,Mittelfeld,52,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=62307/index.html,3,0,9,3,2,12,15,0,462,423
63,Gareth McAuley,10,848,Northern Ireland,Nordirland,q,29194,Verteidigung,61,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=65248/index.html,3,0,4,3,0,12,3,0,241,200
53,Tornike Okriashvili,10,654,Georgia,Georgien,nq,33646,Mittelfeld,29,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=250014694/index.html,3,0,5,4,1,13,15,2,316,276
66,Alexander Tettey,11,908,Norway,Norwegen,nq,31506,Mittelfeld,30,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=97163/index.html,3,0,4,5,2,13,9,2,557,506
67,Boštjan Cesar,12,1035,Slovenia,Slowenien,nq,30141,Verteidigung,91,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=46728/index.html,3,0,6,4,2,13,8,2,522,473
60,Aleksandr Kokorin,9,786,Russia,Russland,q,33316,Angriff,38,12,http://www.uefa.com/uefaeuro/season=2016/teams/player=1909617/index.html,3,1,14,14,5,15,20,1,230,194
48,Graziano Pellè,7,535,Italy,Italien,q,31243,Angriff,13,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=103165/index.html,3,0,7,13,2,16,6,0,139,107
65,Marko Arnautović,10,859,Austria,Österreich,q,32617,Angriff,52,11,http://www.uefa.com/uefaeuro/season=2016/teams/player=1903428/index.html,3,2,12,9,5,16,20,0,361,309
64,Kolbeinn Sigthórsson,10,852,Iceland,Island,q,32946,Angriff,39,20,http://www.uefa.com/uefaeuro/season=2016/teams/player=107782/index.html,3,1,5,4,9,17,9,2,125,109
56,Dmitri Nazarov,10,741,Azerbaijan,Azerbaijan,nq,32967,Mittelfeld,17,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250070396/index.html,3,2,11,9,2,20,36,2,212,179
71,Constantin Budescu,3,164,Romania,Rumänien,q,32558,Angriff,4,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250024265/index.html,2,0,4,2,3,1,3,0,57,39
73,Andrej Kramarić,6,176,Croatia,Kroatien,q,33408,Angriff,11,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906416/index.html,2,0,6,6,1,1,1,0,72,63
85,Islambek Kuat,4,360,Kazakhstan,Kasachstan,nq,33981,Mittelfeld,6,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250013944/index.html,2,0,3,2,1,2,6,1,98,76
87,İlkay Gündoğan,5,369,Germany,Deutschland,q,33170,Mittelfeld,16,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005335/index.html,2,1,7,3,3,2,6,0,334,305
91,Adem Ljajić,5,419,Serbia,Serbien,nq,33510,Angriff,20,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906525/index.html,2,1,6,2,4,2,2,1,214,190
77,Václav Pilař,6,204,Czech Republic,Tschechien,q,32429,Mittelfeld,22,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250021555/index.html,2,0,2,6,2,3,5,0,55,50
93,Mikhail Gordeichuk,6,423,Belarus,Belarus,nq,32804,Angriff,13,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250011531/index.html,2,0,2,3,1,3,1,1,98,79
100,Aiden McGeady,8,477,Republic of Ireland,Irland,q,31506,Mittelfeld,81,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=68674/index.html,2,1,9,6,2,3,4,1,116,109
104,Valeri Kazaishvili,6,504,Georgia,Georgien,nq,33998,Mittelfeld,16,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=250013907/index.html,2,0,5,6,0,3,3,0,139,115
111,Antonio Candreva,9,587,Italy,Italien,q,31836,Mittelfeld,38,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=103275/index.html,2,2,5,4,3,3,7,1,199,170
115,Stanislav Dragun,9,628,Belarus,Belarus,nq,32298,Mittelfeld,37,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=96700/index.html,2,1,3,3,4,3,5,1,240,215
83,Riku Riski,6,348,Finland,Finnland,nq,32736,Angriff,24,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=102023/index.html,2,0,4,2,1,4,5,1,53,41
86,Santi Cazorla,7,365,Spain,Spanien,q,31029,Mittelfeld,76,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=72644/index.html,2,0,4,2,3,4,4,1,375,348
109,Luka Modrić,8,565,Croatia,Kroatien,q,31299,Mittelfeld,89,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=74699/index.html,2,2,3,2,0,4,15,0,432,385
114,Edin Višća,9,627,Bosnia and Herzegovina,Bosnien,nq,32921,Mittelfeld,25,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905547/index.html,2,0,3,6,7,4,11,0,129,105
116,Haris Medunjanin,9,640,Bosnia and Herzegovina,Bosnien,nq,31114,Mittelfeld,50,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=95768/index.html,2,0,7,7,5,4,1,1,384,338
126,Tal Ben Chaim,10,732,Israel,Israel,nq,32725,Angriff,19,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005319/index.html,2,2,5,7,6,4,17,2,191,166
68,Sebastian Mila,5,135,Poland,Polen,q,30142,Mittelfeld,38,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=48856/index.html,2,0,3,2,0,5,3,1,58,48
69,Milan Djurić,6,142,Bosnia and Herzegovina,Bosnien,nq,33015,Angriff,9,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250034576/index.html,2,1,2,3,0,5,2,2,19,12
74,Mate Vatsadze,4,182,Georgia,Georgien,nq,32494,Angriff,15,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=104732/index.html,2,0,6,4,1,5,1,0,48,36
78,Yevhen Seleznyov,5,262,Ukraine,Ukraine,q,31248,Angriff,50,11,http://www.uefa.com/uefaeuro/season=2016/teams/player=105931/index.html,2,0,4,6,0,5,4,1,45,44
84,Ross Barkley,5,357,England,England,q,34308,Mittelfeld,22,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007655/index.html,2,2,4,1,2,5,6,0,236,216
90,Bogdan Stancu,7,415,Romania,Rumänien,q,31956,Angriff,41,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=1902650/index.html,2,1,4,4,2,5,8,1,61,54
95,Jack Wilshere,5,433,England,England,q,33604,Mittelfeld,30,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=1907893/index.html,2,0,3,3,0,5,6,1,304,264
101,Georginio Wijnaldum,8,478,Netherlands,Niederlande,nq,33188,Mittelfeld,30,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=103813/index.html,2,1,4,6,0,5,5,0,143,121
107,Fabian Schär,6,540,Switzerland,Schweiz,q,33592,Verteidigung,20,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250050401/index.html,2,3,4,0,2,5,6,1,362,322
137,Eran Zahavi,10,815,Israel,Israel,nq,31983,Mittelfeld,31,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906423/index.html,2,4,13,13,8,5,10,0,303,263
75,Rubin Okotie,7,191,Austria,Österreich,q,31934,Angriff,17,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=74433/index.html,2,0,7,2,2,6,4,1,42,37
79,Nejc Pečnik,8,264,Slovenia,Slowenien,nq,31415,Mittelfeld,32,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=93839/index.html,2,1,3,6,1,6,10,2,67,51
80,Éder,5,267,Italy,Italien,q,31731,Angriff,10,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906181/index.html,2,0,4,5,6,6,6,0,59,48
88,Yussuf Poulsen,8,372,Denmark,Dänemark,nq,34500,Angriff,14,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250022869/index.html,2,1,6,4,2,6,7,1,77,68
96,Mirko Vučinić,6,437,Montenegro,Montenegro,nq,30590,Angriff,45,16,http://www.uefa.com/uefaeuro/season=2016/teams/player=52077/index.html,2,0,11,9,2,6,9,3,119,95
102,Pedro Rodríguez,8,489,Spain,Spanien,q,31986,Angriff,56,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=250002701/index.html,2,1,7,7,5,6,7,2,271,240
113,Róbert Mak,9,617,Slovakia,Slowakei,q,33305,Mittelfeld,27,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=107044/index.html,2,1,5,5,6,6,13,0,137,115
118,Fatos Bećiraj,9,674,Montenegro,Montenegro,nq,32268,Angriff,40,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250001725/index.html,2,2,5,7,4,6,10,0,153,123
979,Éder,5,184,Portugal,Portugal,q,31731,Angriff,10,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906181/index.html,2,0,4,5,6,6,6,0,59,48
70,Dániel Böde,3,162,Hungary,Ungarn,q,31709,Angriff,12,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250029640/index.html,2,1,3,3,1,7,1,2,25,21
76,Tamás Priskin,8,199,Hungary,Ungarn,q,31682,Angriff,55,16,http://www.uefa.com/uefaeuro/season=2016/teams/player=70682/index.html,2,0,2,2,0,7,2,1,45,42
124,Giorgio Chiellini,8,720,Italy,Italien,q,30908,Verteidigung,84,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=59142/index.html,2,1,2,3,1,7,16,0,574,527
129,Sergio Busquets,10,770,Spain,Spanien,q,32340,Mittelfeld,82,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250002704/index.html,2,1,3,5,2,7,20,2,745,721
136,Pavel Kadeřábek,9,810,Czech Republic,Tschechien,q,33719,Verteidigung,18,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250004178/index.html,2,2,3,3,0,7,3,0,288,239
138,Zlatko Junuzović,10,839,Austria,Österreich,q,32046,Mittelfeld,48,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=101295/index.html,2,2,12,6,9,7,19,2,425,355
72,Milan Škoda,5,173,Czech Republic,Tschechien,q,31428,Angriff,9,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908451/index.html,2,0,4,2,1,8,1,0,20,15
94,Stevan Jovetić,6,431,Montenegro,Montenegro,nq,32814,Angriff,39,16,http://www.uefa.com/uefaeuro/season=2016/teams/player=102514/index.html,2,1,8,8,3,8,13,0,155,123
122,Aaron Ramsey,8,715,Wales,Wales,q,33233,Mittelfeld,39,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=103769/index.html,2,1,6,11,7,8,15,0,483,406
128,Steven Davis,9,765,Northern Ireland,Nordirland,q,31048,Mittelfeld,83,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=62176/index.html,2,0,3,5,3,8,7,0,330,280
130,Arda Turan,9,773,Turkey,Türkei,q,31807,Mittelfeld,91,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=74850/index.html,2,3,8,8,2,8,28,4,439,383
97,Sergei Kornilenko,7,449,Belarus,Belarus,nq,30481,Angriff,73,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=52293/index.html,2,1,8,5,5,9,14,0,79,63
134,Rahid Amirguliyev,9,806,Azerbaijan,Azerbaijan,nq,32752,Mittelfeld,48,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=96925/index.html,2,1,4,4,4,9,13,2,328,302
82,Joshua King,6,345,Norway,Norwegen,nq,33618,Angriff,22,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250004772/index.html,2,1,6,4,1,10,7,0,69,60
120,Aleksandar Trajkovski,9,692,FYR Macedonia,Mazedonien,nq,33852,Angriff,30,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=250039878/index.html,2,0,8,7,3,10,24,2,162,134
99,Marcus Berg,7,472,Sweden,Schweden,q,31641,Angriff,37,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=97688/index.html,2,0,10,10,1,11,11,0,95,78
105,Timofei Kalachev,7,537,Belarus,Belarus,nq,29707,Mittelfeld,73,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=54160/index.html,2,1,4,5,5,11,11,2,181,138
106,Paul Papp,6,540,Romania,Rumänien,q,32823,Mittelfeld,18,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1907262/index.html,2,0,2,3,1,11,5,1,172,138
127,Ivelin Popov,9,733,Bulgaria,Bulgarien,nq,32076,Mittelfeld,62,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=95078/index.html,2,1,5,11,3,11,8,2,227,178
133,Aron Gunnarsson,9,787,Iceland,Island,q,32620,Mittelfeld,59,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=102287/index.html,2,1,2,4,3,11,16,2,390,348
92,Ilian Mitsanski,7,421,Bulgaria,Bulgarien,nq,31401,Angriff,17,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=99388/index.html,2,0,5,2,3,12,12,0,76,59
103,Serhiy Sydorchuk,7,492,Ukraine,Ukraine,q,33360,Mittelfeld,12,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250008250/index.html,2,0,2,3,2,13,1,3,244,220
117,Marcelo Brozović,9,655,Croatia,Kroatien,q,33924,Mittelfeld,17,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250040564/index.html,2,0,4,8,2,13,6,2,344,306
119,Arvydas Novikovas,8,690,Lithuania,Litauen,nq,33225,Mittelfeld,30,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=107704/index.html,2,2,7,14,5,13,27,2,243,187
144,Yevhen Konoplyanka,11,931,Ukraine,Ukraine,q,32780,Mittelfeld,53,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905873/index.html,2,1,14,15,5,13,40,2,324,265
89,Krisztián Németh,7,392,Hungary,Ungarn,q,32513,Angriff,23,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=102438/index.html,2,0,3,1,1,14,4,2,99,80
98,James McClean,9,467,Republic of Ireland,Irland,q,32620,Mittelfeld,38,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003555/index.html,2,0,4,0,1,14,5,4,110,87
108,João Moutinho,7,560,Portugal,Portugal,q,31663,Mittelfeld,83,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=70098/index.html,2,1,2,5,0,14,11,1,383,348
131,Jaba Kankava,9,778,Georgia,Georgien,nq,31489,Mittelfeld,62,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=74023/index.html,2,0,3,6,1,14,22,2,439,398
139,Birkir Bjarnason,10,867,Iceland,Island,q,32290,Mittelfeld,47,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=97142/index.html,2,1,3,4,1,15,22,0,265,235
141,Fiodor Černych,10,873,Lithuania,Litauen,nq,33379,Verteidigung,26,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=250051107/index.html,2,0,7,6,4,15,11,1,203,172
112,Raheem Sterling,8,606,England,England,q,34676,Mittelfeld,23,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250024795/index.html,2,3,5,8,7,16,22,2,267,230
121,Vedad Ibišević,11,712,Bosnia and Herzegovina,Bosnien,nq,30900,Angriff,73,25,http://www.uefa.com/uefaeuro/season=2016/teams/player=95770/index.html,2,1,6,13,2,16,16,1,134,107
143,Grzegorz Krychowiak,10,900,Poland,Polen,q,32902,Mittelfeld,34,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=102092/index.html,2,2,6,4,0,16,18,2,597,532
132,Sergei Zenjov,10,786,Estonia,Estland,nq,32618,Angriff,50,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=102118/index.html,2,1,4,3,4,17,10,2,101,91
135,Radja Nainggolan,9,806,Belgium,Belgien,q,32267,Mittelfeld,19,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906233/index.html,2,1,5,11,4,17,12,0,547,494
140,Nicklas Bendtner,10,868,Denmark,Dänemark,nq,32158,Angriff,74,29,http://www.uefa.com/uefaeuro/season=2016/teams/player=92996/index.html,2,3,6,16,3,17,10,0,216,176
110,Nir Bitton,9,584,Israel,Israel,nq,33541,Mittelfeld,18,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=1909623/index.html,2,1,7,0,0,18,5,3,454,431
142,Lars Gerson,10,900,Luxembourg,Luxemburg,nq,32909,Mittelfeld,53,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=104072/index.html,2,0,6,6,3,19,11,1,289,251
125,Jóan Edmundsson,9,722,Faroe Islands,Faroe Islands,nq,33445,Angriff,36,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=108785/index.html,2,1,10,4,3,23,8,3,159,143
123,Juraj Kucka,9,716,Slovakia,Slowakei,q,31834,Mittelfeld,47,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905643/index.html,2,1,7,9,3,26,27,4,259,217
